Movie Name,CSS,Language,Runtime (min.),IMDb_Rating,Animated,Genre,Fantasy,Drama,Music,Adventure,Thriller,Action,Family,Romance,Mystery,Sports,Comedy,Horror,Crime,SciFi,Lead_Actor,Lead_Actress,Director,Budget,BO Collection (Total),Trailer Views,Trailer Likes (K),Music_Rating,No. of Screens,Verdict
nightatthemuseumbattleofthesmithsonian,,English,105,6,Live Action,"Adventure, Comedy, Family",0,0,0,1,0,0,1,0,0,0,0,0,0,0,Ben Stiller,Amy Adams,Shawn Levy,150,413.11,16549540,4096,5.8,3000,Blockbuster
xmenoriginswolverine,1,English,107,6.6,Live Action,"Action, Adventure, Sci-fi",0,0,0,1,0,1,0,0,0,0,0,0,0,1,Hugh Jackman,Liev Schreiber,Gavin Hood,150,373.06,14750000,4094,6.5,3000,Hit
thematrixrevolutions,0.35,English,129,6.7,Live Action,"Action, Sci-fi",0,0,0,0,0,1,0,0,0,0,0,0,0,1,Keanu Reeves,Laurence Fishburne,Wachowskis,150,427.34,13548396,4120,7.4,3000,Hit
frozen,,English,102,7.4,Animated,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",0,1,1,1,0,0,1,1,0,0,1,0,0,0,Kristen Bell,Idina Menzel,Chris Buck,150,1509,1736415911,1500,7.5,4000,Blockbuster
thematrixreloaded,0.3,English,138,7.2,Live Action,"Action, Sci-Fi",0,0,0,0,0,1,0,0,0,0,1,0,0,1,Keanu Reeves,Laurence Fishburne,Lana Wachowski,150,742.13,3763955,3250,6.8,5000,Blockbuster
thorthedarkworld,0.3,English,112,6.9,Live Action,"Action, Adventure, Fantasy, Sci-Fi, Superhero",0,0,0,1,0,1,0,0,0,0,0,0,0,1,Chris Hemsworth,Natalie Portman,Alan Taylor,170,644.57,1044397000,4300,6.5,5000,Hit
thor,0.15,English,115,7,Live Action,"Action, Adventure, Fantasy, Superhero",0,0,0,1,0,1,0,0,0,0,0,0,0,0,Chris Hemsworth,Natalie Portman,Kenneth Branagh,150,449.33,2992055,3956,6.8,5000,Blockbuster
bolt,0.3,English,96,6.8,Animated,"Animation, Adventure, Comedy, Drama, Family, Fantasy, Sci-Fi",0,1,0,1,0,0,1,0,0,0,1,0,0,1,John Travolta,Miley Cyrus,Byron Howard,150,328.02,2319156,3500,7.1,4000,Hit
gforce,0,English,88,5.1,Animated,"Action, Adventure, Comedy, Family, Fantasy",0,1,1,1,1,0,0,0,0,0,0,0,0,0,Zach Galifianakis,Penélope Cruz,Hoyt Yeatman,150,292.82,1003696,3681,5.6,3400,Average
wrathofthetitans,,English,99,5.7,Live Action,"Action, Adventure, Fantasy, Mythology",0,1,0,1,0,0,0,0,0,0,0,0,0,0,Sam Worthington,Rosamund Pike,Jonathan Liebesman,150,305.28,899276,3715,5.7,4336,Hit
darkshadows,0.35,English,113,6.2,Live Action,"Comedy, Fantasy, Horror, Gothic",0,0,0,0,0,0,0,1,0,0,1,1,0,0,Johnny Depp,Eva Green,Tim Burton,150,245.53,2144711,3856,7.1,2000,Average
missionimpossibleroguenation,0.2,English,131,7.4,Animated,"Action, Adventure, Thriller",0,0,0,1,1,1,0,0,0,0,0,0,0,0,Tom Cruise,Rebecca Ferguson,Christopher McQuarrie,150,682.71,10047246,3750,7.4,50,Blockbuster
